pid,source_chapter,source_chapter_title,source_title,source_line
P-MET-01,1,基础约定与可复用数学工具,核与读出的数据处理。,140
P-MET-02,1,基础约定与可复用数学工具,跨度估计。,153
P-PROC-01,2,世界过程、实验协议与时间,历史状态化。,199
P-FAC-01,3,因子、表示协变与对象候选,,254
P-PRED-01,4,规范预测身份：存在、最小性、细化与更新,共同协议的规范最小性。,294
P-PRED-02,4,规范预测身份：存在、最小性、细化与更新,目标推送与协议细化。,330
P-PRED-03,4,规范预测身份：存在、最小性、细化与更新,有限字母过程的递归更新。,351
P-INFO-01,5,预测信息、记忆复杂度与可压缩性,,376
P-INFO-02,5,预测信息、记忆复杂度与可压缩性,,397
P-INFO-03,5,预测信息、记忆复杂度与可压缩性,零失真复杂度。,432
P-INFO-04,5,预测信息、记忆复杂度与可压缩性,Fano 型身份下界。,450
P-INFO-05,5,预测信息、记忆复杂度与可压缩性,,468
P-INT-01,6,结构化开放、环境接口与因果边界,结构化充分性的充要条件。,488
P-INT-02,6,结构化开放、环境接口与因果边界,,524
P-INT-03,6,结构化开放、环境接口与因果边界,,570
P-DYN-01,7,动态闭合、一般过程与多尺度一致性,strong lumpability。,587
P-DYN-02,7,动态闭合、一般过程与多尺度一致性,,603
P-DYN-03,7,动态闭合、一般过程与多尺度一致性,同策略路径误差。,623
P-DYN-04,7,动态闭合、一般过程与多尺度一致性,,640
P-PER-01,8,持续性：不变结构、可行性与相对身份,,679
P-PER-02,8,持续性：不变结构、可行性与相对身份,,705
P-PER-03,8,持续性：不变结构、可行性与相对身份,,729
P-PER-04,8,持续性：不变结构、可行性与相对身份,切向必要性。,745
P-REC-01,9,恢复、扰动与规范恢复势,,760
P-REC-02,9,恢复、扰动与规范恢复势,,783
P-REC-03,9,恢复、扰动与规范恢复势,,804
P-REC-04,9,恢复、扰动与规范恢复势,漂移推出恢复时间。,814
P-QSD-01,10,准平稳、谱与持续时间窗,条件稳定化的逆向结论。,847
P-QSD-02,10,准平稳、谱与持续时间窗,,879
P-QSD-03,10,准平稳、谱与持续时间窗,,901
P-QSD-04,10,准平稳、谱与持续时间窗,,928
P-ID-01,11,历史身份、运输与发展定律,运输缺损累计。,971
P-ID-02,11,历史身份、运输与发展定律,发展管道。,1007
P-OMG-01,12,对象证书与因果完整性 Ω,极小毁损重建。,1077
P-OMG-02,12,对象证书与因果完整性 Ω,,1095
P-CAR-01,13,预测身份的实现、冗余与毁损对偶,,1135
P-CAR-02,13,预测身份的实现、冗余与毁损对偶,,1151
P-CAR-03,13,预测身份的实现、冗余与毁损对偶,双 blocker。,1157
P-CAR-04,13,预测身份的实现、冗余与毁损对偶,,1196
P-RES-01,14,分辨率、粗粒化与微观实现的不确定区间,极小性质的粗粒化。,1223
P-RES-02,14,分辨率、粗粒化与微观实现的不确定区间,复合律。,1233
P-RES-03,14,分辨率、粗粒化与微观实现的不确定区间,blocker 的尺度自然性。,1267
